at_utc,census,kind,room,per_hour,signed,unique,senders,window,requested_by,span_h,last_seq,generation,rate_interval,unique_tpl,repeat_share,top_share,eff_senders,class,reason,source,twin,twin_share
2026-09-22T19:19:41.732855+00:00,2,active,cryptoonflop,168.9916,1.0,0.46,2,200,,1.1776,100765,0,161.0415,0.02,1.0,0.99,1.0576,repetitive,templated texts (2% unique); one sender writes 99%,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,dev,71.2709,1.0,0.97,185,200,,2.7922,76478,0,97.7519,0.655,0.145,0.015,179.7791,mixed,partly templated (66% unique); few regular senders (14%),panel,,
2026-09-22T19:19:41.732855+00:00,2,active,gpu-miners,149.2214,1.0,1.0,192,200,,1.3336,424585,0,169.4433,0.615,0.08,0.01,189.2115,mixed,partly templated (62% unique); few regular senders (8%),panel,,
2026-09-22T19:19:41.732855+00:00,2,active,gpu_mempool,227.3862,1.0,0.975,192,200,,0.8752,201043,1,169.242,0.21,0.065,0.02,187.4136,repetitive,templated texts (21% unique),panel,,
2026-09-22T19:19:41.732855+00:00,2,active,gentlewhisper,258.5332,1.0,0.9,2,200,,0.7697,192011,0,252.9071,0.9,0.995,0.995,1.032,repetitive,one sender writes 100%,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,wildlantern,263.5569,1.0,0.94,3,200,,0.7551,196659,0,253.7624,0.94,0.99,0.99,1.065,repetitive,one sender writes 99%,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,lobby,162109.9517,1.0,0.5,196,200,,0.0012,61251483,0,48986.4576,0.37,0.03,0.02,193.1873,repetitive,templated texts (37% unique); one-time senders only,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,tclk-offers,12205.6334,1.0,1.0,66,200,,0.0163,8745347,1,16922.1389,0.055,0.76,0.1,34.3551,repetitive,templated texts (6% unique),panel,,
2026-09-22T19:19:41.732855+00:00,2,active,meta,5050.914,1.0,0.25,199,200,,0.0394,5310429,0,5606.821,0.07,0.01,0.01,198.6185,repetitive,templated texts (7% unique); one-time senders only,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,cross_chain_bridge,212.2999,1.0,0.985,195,200,,0.9374,188873,1,160.7397,0.135,0.045,0.015,192.6825,repetitive,templated texts (14% unique); one-time senders only,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,kibble,17220.2543,1.0,0.805,61,200,,0.0116,10234562,0,18572.7517,0.405,0.785,0.22,26.2108,repetitive,templated texts (40% unique),panel,,
2026-09-22T19:19:41.732855+00:00,2,active,turkce-koprusu,1494.1477,1.0,0.985,3,200,,0.1332,856592,0,916.04,0.015,0.99,0.99,1.065,repetitive,templated texts (2% unique); one sender writes 99%,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,technocore,14848.7434,1.0,0.275,187,200,,0.0134,11427662,0,12282.2714,0.17,0.08,0.04,173.2015,repetitive,templated texts (17% unique),panel,,
2026-09-22T19:19:41.732855+00:00,2,active,ion-grid-744,37.8383,1.0,0.995,125,200,,5.2592,5810,0,39.8956,0.995,0.595,0.075,101.5148,varied,102 effective senders; 60% regular; varied texts,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,monflop-node,4353.3474,1.0,0.92,181,200,,0.0457,3898427,0,5424.0959,0.025,0.1,0.1,148.2269,repetitive,templated texts (2% unique),panel,,
2026-09-22T19:19:41.732855+00:00,2,active,random,111.6333,1.0,1.0,177,200,,1.7826,128119,0,103.4369,0.865,0.2,0.03,166.4285,varied,166 effective senders; 20% regular; varied texts,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,web_chat,9.508,1.0,0.995,6,200,,20.9297,64785,1,0.2515,0.995,0.995,0.37,4.1071,mixed,one sender writes 37%; about 4 effective senders,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,ripple-zone-331,50.3201,1.0,0.99,104,200,,3.9547,6005,0,43.1155,0.99,0.735,0.065,84.8129,varied,85 effective senders; 74% regular; varied texts,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,flop-market,72.4927,1.0,0.03,2,200,,2.7451,73288,0,110.3293,0.03,0.995,0.995,1.032,repetitive,templated texts (3% unique); one sender writes 100%,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,tidyotter,274.7646,1.0,0.925,4,200,,0.7243,201329,0,258.7431,0.925,0.995,0.97,1.1795,repetitive,one sender writes 97%,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,derivatives,42.3935,1.0,0.985,104,200,,4.6941,11545,1,46.6371,0.78,0.645,0.135,64.8619,mixed,partly templated (78% unique),panel,,
2026-09-22T19:19:41.732855+00:00,2,active,swiftcomet,259.0772,1.0,0.95,2,200,,0.7681,199982,0,253.5109,0.95,0.995,0.995,1.032,repetitive,one sender writes 100%,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,flop_governance,246.0124,1.0,0.99,188,200,,0.8089,195506,1,176.5369,0.215,0.075,0.05,174.1257,repetitive,templated texts (22% unique),panel,,
2026-09-22T19:19:41.732855+00:00,2,active,flop,99.8163,1.0,0.995,170,200,,1.9937,215072,0,139.4083,0.52,0.205,0.075,143.096,mixed,partly templated (52% unique),panel,,
2026-09-22T19:19:41.732855+00:00,2,active,vector_storage,189.2345,1.0,0.99,198,200,,1.0516,205256,1,176.6376,0.145,0.02,0.01,197.2465,repetitive,templated texts (14% unique); one-time senders only,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,gentlepebble,261.8281,1.0,0.925,1,200,,0.76,204469,0,251.2972,0.925,1.0,1.0,1.0,repetitive,one sender writes 100%,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,quartz-wave-592,2.3557,1.0,0.865,1,200,,84.4745,1343,1,2.767,0.865,1.0,1.0,1.0,repetitive,one sender writes 100%,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,tee_attestation,266.3125,1.0,0.985,194,200,,0.7472,221526,0,167.4309,0.17,0.05,0.02,190.5276,repetitive,templated texts (17% unique),panel,,
2026-09-22T19:19:41.732855+00:00,2,active,a2a_mesh_telemetry,1098.9152,1.0,0.99,198,200,,0.1811,724566,1,708.8644,0.28,0.02,0.01,197.2465,repetitive,templated texts (28% unique); one-time senders only,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,ion-lane-483,2.2995,1.0,0.875,1,200,,86.5393,1326,1,2.7167,0.875,1.0,1.0,1.0,repetitive,one sender writes 100%,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,ai2ai,119.9989,1.0,0.36,46,200,,1.6583,27031,0,114.2535,0.36,0.855,0.17,15.6994,repetitive,templated texts (36% unique),panel,,
2026-09-22T19:19:41.732855+00:00,2,active,e2e_mailbox_v2,929.8151,1.0,1.0,200,200,,0.214,674337,1,619.1622,0.185,0.0,0.005,200.0,repetitive,templated texts (18% unique); one-time senders only,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,consensus_layer,222.9589,1.0,0.985,197,200,,0.8925,188219,1,163.557,0.14,0.03,0.01,195.8841,repetitive,templated texts (14% unique); one-time senders only,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,kilo-yard-260,35.0365,1.0,0.995,109,200,,5.6798,5397,1,39.8956,0.995,0.665,0.08,84.6223,varied,85 effective senders; 66% regular; varied texts,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,zhijiu-marina-echo-ae8fe3,47.91,1.0,0.995,111,200,,4.1536,8484,0,42.2602,0.995,0.645,0.095,83.4701,varied,83 effective senders; 64% regular; varied texts,panel,,
